Name,Source URL
jefvantongerloo/aos,https://github.com/jefvantongerloo/jefvantongerloo.aos
jeffmcutter/leapp,https://github.com/oamg/ansible-leapp
jcmdln/opensmtpd,https://github.com/jcmdln/ansible-role-opensmtpd
jcmdln/openbsd,https://github.com/jcmdln/ansible-collection-openbsd
camaeel/general,https://github.com/camaeel/ansible_collections
bec/docker,https://github.com/bec-galaxy/ansible-collection-docker
wttech/aem,https://github.com/wttech/aemc-ansible
uksysadmin/trilio_kubernetes,https://github.com/uksysadmin/trilio_kubernetes
maxrainer/network_demo,https://github.com/maxrainer/ansible-collection-network_demo
mayacostantini/sigstore_roles,https://github.com/mayaCostantini/sigstore-roles
jbequinn/mac,https://github.com/jbequinn/ansible-collection-mac
tmax_opensql/postgres,https://github.com/tmaxopensql/pg-ansible
stadtluzernio/networker,https://github.com/stadtluzernio/ansible-networker-collection
simeononsecurity/windows_stigs,https://github.com/simeononsecurity/Windows_STIG_Ansible
signalfx/splunk_otel_collector,https://github.com/signalfx/splunk-otel-collector/tree/main/deployments/ansible
sean_m_sullivan/tower_configuration,https://github.com/sean-m-sullivan/tower_configuration
sean_m_sullivan/awx,https://github.com/ansible/awx
sean_m_sullivan/ee_utilities,https://github.com/redhat-cop/ee_utilities
sean_m_sullivan/controller_configuration,https://github.com/redhat-cop/controller_configuration/
scrufulufugus/init,https://github.com/scrufulufugus/ansible.collection.init
sculley/mac_setup,https://github.com/sculley/ansible-collection-mac-setup
scruffaluff/bootware,http://github.com/scruffaluff/bootware
scaleway/scaleway,https://github.com/scaleway/ansible
scaleuptechnologies/utils,https://github.com/ScaleUp-Technologies/ansible-utils
scaleuptechnologies/idoit,https://github.com/ScaleUp-Technologies/ansible-i-doit
saigets/hellofaworld,https://github.com/Saigets/hellofaworld.git
roclub/edge,https://github.com/roclub/roclub-galaxies
robjporter/intersight,https://github.com/robjporter/ansible-intersightmodule
rangeid/bitbucketserver,https://github.com/rangeid/ansible-bitbucket-collection
middleware_automation/jbcs,https://github.com/ansible-middleware/jbcs
maykinmedia/commonground,http://github.com/maykinmedia/commonground-ansible
jeroenvandelockand/loginmsg,https://github.com/jeroenvandelockand/loginmsg
jennifer_john/sample,https://github.com/
jeichler/k8scoretest,https://github.com/ansible-collections/kubernetes.core
jeichler/argocd_ocp,https://github.com/jeichler/ansible_argocd_ocp
fertkir/tg_torrent_bot,https://github.com/fertkir/tg-torrent-bot-node
durera/devops,https://github.com/ibm-mas/ansible-devops
dstanek/software,https://github.com/dstanek/ansible.software
dsglaser/cis_security,https://github.com/dsglaser/cis-security
dseeley/inventory_lookup,https://github.com/dseeley/inventory_lookup
crowdstrike/falcon,https://github.com/CrowdStrike/ansible_collection_crowdstrike
cloin/eda,https://github.com/cloin/cloin.eda
andrewjlowery/raddar,https://www.github.com//andrewjlowery/ansible-collection-raddar
znerol/podluck,https://github.com/znerol/ansible-collection-podluck.git
zzbytes/redteam,https://github.com/zzbytes/test_collection
znerol/become_password,https://github.com/znerol/ansible-collection-become-password.git
zjpeterson/snowitsm,https://github.com/zjpeterson/servicenow.itsm/tree/galaxy
zjpeterson/servicenow_network,https://github.com/zjpeterson/servicenow_network_setup
zjpeterson/aci_inventory,https://github.com/zjpeterson/ansible-aci-inventory
zjpeterson/aci,https://github.com/zjpeterson/ansible-tower-aci
zjleblanc/kasa,https://github.com/zjleblanc/zjleblanc.kasa
ziouf/tpm,https://github.com/ziouf/ansible_collections
ziouf/nexus,https://github.com/ziouf/ansible_collections
zilux/tools,https://github.com/zilux/tools-collections
zhouhao3/tos,https://github.com/hs0210/hello-world
zilti/pot,https://github.com/zilti/ansible-pot
zeusbaba/wdt,https://github.com/zeusbaba/ansible-collection-wdt
zer0glitch/ocpv,https://github.com/zer0glitch/ocpv
zekker6/cluster,https://github.com/VictoriaMetrics/ansible-playbooks
zer0glitch/collector,http://github.com/zer0glitch/collector
zbradft/webtest333,https://github.com/fortinet-ansible-dev/ansible-galaxy-fortiweb-collection
zbradft/webtest,https://github.com/fortinet-ansible-dev/ansible-galaxy-fortiweb-collection
zbradft/fortiweb,https://github.com/fortinet-ansible-dev/ansible-galaxy-fortiweb-collection
zbradft/webtest111,https://github.com/fortinet-ansible-dev/ansible-galaxy-fortiweb-collection
zbradft/webtest222,https://github.com/fortinet-ansible-dev/ansible-galaxy-fortiweb-collection
zedr/gitlab_runner,https://github.com/zedr/gitlab_runner
zaki_lknr/esxissh,https://github.com/zaki-lknr/esxissh-ansible
yadvi12/kubernetesmultinode,https://github.com/yadvi12/K8s-Ansible-Playbook
yshestakov/dpu_ops,https://github.com/NVIDIA/ansible-collection-dpu-ops
yamaha_network/swx,https://github.com/yamaha-network/ansible-collection-swx
yeoldegrove/iscsi_target_server,https://github.com/yeoldegrove/ansible.iscsi_target_server
zabbix/zabbix,https://github.com/zabbix/ansible-collection.git
zachary_plencner/k1000,https://github.com/zachary-plencner/K1000
yqlbu/minio,http://github.com/techprober/cloud-estate
ysebastia/repositories,https://github.com/ysebastia/ansible-repositories
yqlbu/apt,http://github.com/techprober/cloud-estate
zachary_plencner/secret_server,https://github.com/zachary-plencner/secret-server
yoctoalex/xc_cloud_modules,https://github.com/yoctoalex/xc-cloud-ansible
yo_han/transip,https://github.com/yo-han/ansible-collection-transip
yadvi12/kubernetesmultinodecluster,https://github.com/yadvi12/K8s-Ansible-Playbook
yoctoalex/cloudservices,https://github.com/
yamaha_network/rtx,https://github.com/yamaha-network/ansible-collection-rtx
yeoldegrove/targetcli,https://github.com/yeoldegrove/ansible.targetcli
xxy1991/win,https://github.com/xxy1991/ansible-collection-win
xinyuezhao18/mso,https://github.com/CiscoDevNet/ansible-mso
xxy1991/debase,https://github.com/xxy1991/ansible-collection-debase
xmargin_devops/generate_from_vault,https://github.com/X-Margin-Inc/ansible-generate-from-vault
xoyteam/docker_compose_apps,https://github.com/xoyteam/docker_compose_apps
xmargin_devops/plugins,https://github.com/X-Margin-Inc/ansible-plugins
xcezx/mackerel,https://github.com/xcezx/ansible-mackerel-collection
x_delfino/vm_utils,https://github.com/x-delfino/ansible-collections/tree/main/vm-utils
x_delfino/utils,https://github.com/x-delfino/ansible-collections/tree/main/utils
willtome/tower_configuration,https://github.com/willtome/tower_configuration
x_delfino/security,https://github.com/x-delfino/ansible-collections/tree/main/security
x_delfino/jobs,https://github.com/x-delfino/ansible-collections/tree/main/jobs
wombelix/community_vmware,https://github.com/wombelix/community.vmware.git
wwt/trafficjam,https://github.com/nsthompson/ansible_trafficjam
wwt/ansible_dnac,https://github.com/jandiorio/ansible-dnac-modules/tree/v1.1.5
wucenter/wucenter,https://github.com/wucenter/wucenter-ansible
x_delfino/cloud,https://github.com/x-delfino/ansible-collections/tree/main/cloud
willtome/insights,https://github.com/willtome/ansible-collections-insights
whiletruedoio/general,https://github.com/whiletruedoio/whiletruedoio.general
willguibr/zpacloud_ansible,https://github.com/willguibr/zpacloud_ansible
willhaines/prometheus,https://github.com/CUB-OIT-PE/ansible-prometheus
wesmarcum/firewall,https://github.com/wesmarcum/ansible-collection-firewall
willguibr/zpacloud,https://github.com/willguibr/zpacloud-ansible
wildfly/jcliff,https://github.com/wildfly-extras/ansible_collections_jcliff
wescale/hashistack,https://github.com/wescale/hashistack
wavefront/ansible_collection_wavefront,https://github.com/wavefrontHQ/ansible-collection-wavefront
wenerme/alpine,https://github.com/wenerme/ansible-collection-wenerme-alpine
walkablenormal/librenms,https://github.com/Walkablenormal/ansible-collection-librenms
w3f/polkadot_validator,https://github.com/w3f/polkadot-validator-ansible
w3f/substrate_benchmarks,https://github.com/w3f/substrate-benchmarks
vulnerscom/vulners_ansible_plugin,https://github.com/vulnersCom/vulners-ansible
void/network,https://www.github.com/void-ansible-roles/network
