Issue URL,Fix URL,Ecosystem,Created At,Closed At,Config Unit Files Count,Config Unit Lines Added,Config Unit Lines Removed,IAC Program Unit Files Count,IAC Program Unit Lines Added,IAC Program Unit Lines Removed,Test Unit Files Count,Test Unit Lines Added,Test Unit Lines Removed,Template Unit Files Count,Template Unit Lines Added,Template Unit Lines Removed
https://github.com/ansible-collections/community.general/issues/1776,https://github.com/ansible-collections/community.general/pull/1794,Ansible,2021-02-10,2021-02-12,1,4,6,0,0,0,2,35,0,0,0,0
https://github.com/ansible-collections/community.general/issues/440,https://github.com/ansible-collections/community.general/pull/1491,Ansible,2020-06-01,2021-01-24,1,33,7,0,0,0,3,47,13,0,0,0
https://github.com/netbox-community/ansible_modules/issues/231,https://github.com/netbox-community/ansible_modules/pull/233,Ansible,2020-06-11,2020-06-19,1,23,9,0,0,0,4,69,3,0,0,0
https://github.com/theforeman/foreman-ansible-modules/issues/847,https://github.com/theforeman/foreman-ansible-modules/pull/921/files,Ansible,2020-06-21,2020-08-17,1,2,2,0,0,0,2,18,0,0,0,0
https://github.com/ansible-collections/community.general/issues/109,https://github.com/ansible-collections/community.general/commit/9d1880f29e1c85f7c8023117681297f3a73d1564,Ansible,2020-04-03,2020-04-09,1,98,9,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/arista.eos/issues/329,https://github.com/ansible-collections/arista.eos/pull/330,Ansible,2022-03-23,2022-04-21,1,10,4,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.general/issues/1171,https://github.com/ansible-collections/community.general/pull/4812,Ansible,2020-10-25,2022-07-24,1,30,1,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.mysql/issues/69,https://github.com/ansible-collections/community.mysql/pull/72,Ansible,2020-12-06,2020-12-16,2,10,1,0,0,0,3,121,0,0,0,0
https://github.com/ansible-collections/community.general/issues/4241,https://github.com/ansible-collections/community.general/pull/4719,Ansible,2022-02-21,2022-05-30,1,4,4,0,0,0,0,0,0,0,0,0
https://github.com/ansible-collections/community.general/issues/5661,https://github.com/ansible-collections/community.general/pull/5680,Ansible,2022-12-06,2022-12-22,1,26,9,0,0,0,1,3,3,0,0,0
https://github.com/ansible-collections/community.postgresql/issues/465,https://github.com/ansible-collections/community.postgresql/pull/472,Ansible,2023-05-05,2023-05-16,3,9,1,0,0,0,0,0,0,0,0,0
https://github.com/freeipa/ansible-freeipa/issues/66,https://github.com/freeipa/ansible-freeipa/commit/818db5cb4dc5e3b89ba6575bcdf67277c6d2c974,Ansible,2019-04-03,2019-04-04,2,7,2,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-python/issues/50,https://github.com/voxpupuli/puppet-python/pull/60,Puppet,2014-01-05,2014-02-26,3,4,4,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-mumble/issues/52,https://github.com/voxpupuli/puppet-mumble/pull/53,Puppet,2019-09-11,2019-10-04,0,0,0,1,3,1,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-rabbitmq/issues/832,https://github.com/voxpupuli/puppet-rabbitmq/pull/833,Puppet,2020-04-09,2020-04-25,1,1,1,0,0,0,2,114,0,0,0,0
https://github.com/voxpupuli/puppet-rhsm/issues/52,https://github.com/voxpupuli/puppet-rhsm/pull/53,Puppet,2017-09-22,2017-10-09,1,1,1,0,0,0,0,0,0,0,0,0
https://github.com/voxpupuli/puppet-logstash/issues/357,https://github.com/voxpupuli/puppet-logstash/pull/362,Puppet,2018-03-06,2018-04-02,0,0,0,0,0,0,1,32,0,1,10,0
https://github.com/puppetlabs/puppetlabs-docker/issues/597,https://github.com/puppetlabs/puppetlabs-docker/pull/740,Puppet,2020-04-15,2021-06-28,0,0,0,3,21,22,3,19,12,0,0,0
https://github.com/deric/puppet-zookeeper/issues/10,https://github.com/deric/puppet-zookeeper/commit/c0983a26e3a4387da4ee91468da5d83ca134ee1c,Puppet,2015-01-16,2015-01-29,0,0,0,1,6,0,1,16,0,0,0,0
https://github.com/voxpupuli/puppet-gluster/issues/140,https://github.com/voxpupuli/puppet-gluster/commit/0e0855f05debb94b6a4b3acfaf61c7a09a4b0207,Puppet,2017-10-25,2018-03-26,0,0,0,1,8,5,0,0,0,0,0,0
https://github.com/lelutin/puppet-fail2ban/issues/50,https://github.com/lelutin/puppet-fail2ban/commit/6040e0acd73a66b999734b5c0a683dece6e2424e,Puppet,2021-10-29,2021-10-31,0,0,0,1,2,2,0,0,0,0,0,0
